;;;;;;;;;
;;;;;Posters are uplpaded here https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/;Videos are named with the EasyChair number followed by the first author's last name;;;
69;4;3;Daniel Cameron, Chantal Carrillo and Laurel Trainor;Does the relationship between rhythmic complexity and groove change over development or with expertise?;"Groove
Complexity
Syncopation
Development
Expertise
Dance";"The extent to which listeners are inclined to move to a musical rhythm (groove) depends on how complex (e.g., syncopated) the rhythm is. In adults, the groove-syncopation relationship is thought to have an inverted-U shape, in which listeners want to move most to rhythms that have some syncopation—but not too much. However, we do not know whether the groove-syncopation relationship is fundamental and fixed vs. experience-dependent.

In two sets of online experiments using the drum break patterns (rhythms) developed and used previously by Maria Witek (2014), we tested whether the relationship between groove and syncopation differs between 1) children and adults, 2) dancers and non-dancers, and 3) dancers of different styles (e.g., ballet, jazz, contemporary, and hip-hop).

We tested 5- and 6-year-old children on two tasks. The first was a 2-alternative-forced choice task in which participants compared rhythms from 2 of 3 levels of syncopation (low, medium, and high) and decided which rhythm in a pair was better for dancing. To engage children, rhythms were associated with images of cartoon animals drumming. In a second task, the same children heard longer versions of the same rhythms and were instructed to dance along. Videos of dancing were rated for the extent of movement. Between the two tasks, we are able to assess—perceptually and behaviourally—whether children have a reliable relationship between groove and syncopation, and whether or not the perceptual relationship differs from that of adults. To allow comparison to adults, we tested a sample of adults online in a 2AFC task using the same subsets of stimuli (results showed the expected inverted-U relationship).

In the second set of experiments, trained dancers and non-dancers completed the same task used previously (Witek, et al., 2014): rating groove for 50 rhythm which ranged in syncopation from very low to very high. However, rather than rating each rhythm on groove and enjoyment, the dancers rated two types of groove: how much the rhythm made them want to move a) in a general way and b) in the specific style of dance with which they are most familiar. Each participant’s groove ratings provide a measure of optimal syncopation (peak of the quadratic fit). At the time of submitting this abstract, data collection is ongoing. Due to extensive experience moving to music, dancers may have a higher tolerance for syncopation (higher groove ratings and higher optimal syncopation) than non-dancers. And, because dance styles differ in their requirements for movements locked to the beat and the extent of syncopation in the accompanying music, we expect that optimal syncopation for groove will depend on dancers’ specific style of expertise, and on whether they are rating general groove vs. urge to dance in their style of expertise.

Together, these studies test the extent to which experience influences how the perception of groove is related to rhythmic complexity.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9369-cameron.mp4?vrtx=view-as-webpage;
106;4;4;Emily A. Wood, Dobromir Dotov, Andrew Chang, Dan Bosynak, Lucas Klein and Laurel Trainor;Group synchrony increases but information flow decreases as a string quartet learns unfamiliar music together;"Interpersonal coordination
Group performance
Nonverbal communication
Social cognition
Joint action
Kinematics
Granger causality
Cross-correlation";"Ensemble musicians must anticipate their partners’ actions to coordinate playing a piece together. One way musicians achieve this is by attending to sensorimotor signals in their partners’ body sway movements. Indeed, a musician’s body sway movements reveal their upcoming intent regarding phrasing, tempo, and dynamics, which helps their partners anticipate how and when to play next. 

In our lab, we have measured the body sway of expert musicians in small ensembles with motion capture. One way to analyze these data is with cross-correlation (CC), which describes the similarity, or synchrony, between the body sway time-series of interacting group members. Synchrony between musicians’ body sway is related to how well they coordinate together in difficult playing conditions1,2. However, this method does not capture the richness of interaction dynamics, during which musicians constantly adapt to and influence each other. Another method that considers bidirectional influence is Granger causality (GC), which provides a measure of information flow from one time-series to another. We have used GC in small ensembles to show that information flow was greater from assigned leaders to assigned followers than vice versa3, and that group information flow was greater when musicians played with emotional expression than without4. Here, we show how these body sway interactions change in an ensemble that learns to play unfamiliar music together. 

A professional string quartet played two unfamiliar pieces of music together eight times in succession while body sway motion data was recorded. The average CC and GC values between the body sway trajectories of each pair in the group on each trial were taken as measures of group synchrony and information flow, respectively. Linear mixed-effect modelling showed that group synchrony increased across trials, indicating that coordination improved as the group gained familiarity with the pieces. In contrast, group information flow decreased across trials, suggesting that the group relied on body sway to help them play together when the pieces were most unfamiliar, but this reliance decreased as they gained familiarity with playing the pieces together. In addition, group synchrony, but not information flow, was related to the quality of the performances. We are currently analyzing how our measures change within trials, such as during periods of expressive vs. steady timing. Overall, our studies show that body sway reflects nonverbal communication in musical ensembles.

References

1.	Keller, P. E. & Appel, M. Individual differences, auditory imagery, and the coordination of body movements and sounds in musical ensembles. Music Percept. 28, 27–46 (2010).
2.	Goebl, W. & Palmer, C. Synchronization of timing and motion among performing musicians. Music Percept. 26, 427–438 (2009).
3.	Chang, A., Livingstone, S. R., Bosnyak, D. J. & Trainor, L. J. Body sway reflects leadership in joint music performance. Proc. Natl. Acad. Sci. U. S. A. 114, E4134–E4141 (2017).
4.	Chang, A., Kragness, H. E., Livingstone, S. R., Bosnyak, D. J. & Trainor, L. J. Body sway reflects joint emotional expression in music ensemble performance. Sci. Rep. 9, 1–11 (2019).";https://youtu.be/68jZDXfM1o4;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93106%20wood.mp4?vrtx=view-as-webpage;
37;4;5;Haley Kragness and Laura Cirelli;Tiny Dancers: Investigating auditory-motor development in home-recorded musical movements;"development
dance
auditory-motor
entrainment
groove
familiarity";"While spontaneous musical movements emerge in infancy and often co-occur with expressions of joy (Zentner & Eerola, 2010), it is not until later childhood that children are able to flexibly match their movements to the beat. Most investigations of children’s auditory-motor development occur under highly-controlled laboratory conditions, in which children are asked to tap or clap along to experimenter-selected stimuli. Such testing conditions may be too restrictive, and reduce motivation for motor engagement. In two studies, we investigate the influence of (1) song familiarity and (2) groove on children’s spontaneous motor and affective responses to music in the comfort of their own home. 

In both studies, parents video-recorded their children at home while they listened to an experimenter-created playlist. Parents could encourage children to dance before the music began, but were asked to refrain from speaking or dancing themselves during the music. In Study 1, 1.5- to 3-year-old children listened to their favorite song (as indicated previously by the parent) and an unfamiliar genre-matched song. A 1-min excerpt of each song played at 90, 120, and 150 bpm (pitch constant; order randomized). Data collection is nearly complete (current N = 69, target N = 75). In Study 2, 3- to 6-year-old children listened to a “high” and a “low” groove song (Janata et al., 2012). A 1-min excerpt of each song was presented at 120 and 170 bpm (order randomized). Data collection is nearly complete (current N = 70, target N = 80).

Trained coders watched the videos (sound off) and indicated when the children moved rhythmically, the tempo and energy of their movements, and positive affect. Preliminary results from a random subset of 8 participants from each study (to avoid the pitfalls of “data peeking”), indicate condition-level differences in both affective and motor responses. In Study 1, both movement and positive affect were more common in response to familiar songs. Tempo flexibility was apparent in both familiarity conditions. In Study 2, children moved more, moved with greater energy, and demonstrated more positive affect during high-groove excerpts. Results from a full sample will be presented, as well as analyses of movement tempo. 

These preliminary results suggest that both song familiarity and groove affected children’s movements and affective responses. Results point to the importance of both social and acoustic factors in children’s early motor responses to music, and suggest a robust association between musical movement and enjoyment in early childhood. Further, they demonstrate great promise for home-based methods investigating auditory-motor development, which could enable investigation of questions such as cross-cultural differences and child-sibling/child-parent interactions in musical movements.    

Note: We would like this submission to be considered for either a talk or a poster.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9337%20kragness%20tiny%20dancers.mp4?vrtx=view-as-webpage;
22;4;6;Jeremy Marozeau and Tanmayee Pathre;The effect of rhythmical pattern in the musical preference of cochlear implant users.;"Cochlear implant
Hearing loss
Music appreciation
emotion";"Most of us can find enjoyment in listening to a sad song. Although we can easily identify that a slow piece in minor mode conveys a sad emotion, this emotional message is uncorrelated with our appreciation of the music. In a recent study (Vannson et al., 2015, Trends in Hearing), we have identified a group of participants that did not seem to enjoy sad pieces: Cochlear Implant users.

The cochlear implant is a medical device developed to help people with severe-to-profound hearing loss regain the ability to perceive speech. However, this device is not well suited to convey musical information (Marozeau et al., 2014, Acoustica Australia). Different studies have outlined the limitations of the cochlear implant, CI, to transmit pitch, harmony, mode, and chord progressions. Despite these difficulties, our study has shown that CI users can discriminate between happy songs and sad songs. Given this lack of tonal perception, it would have been expected that CI listeners base their emotional judgment only on the tempo. However, statistical analysis revealed only a weak effect of this musical parameter. More surprisingly, the CI users showed a clear preference for the fast pieces in major mode instead of the slow pieces in a minor mode. In the following study, we are trying to understand how CI listeners can extract emotional information and why they seem to enjoy more happy pieces. 

Twelve normal-hearing, NH, listeners were asked to rate modified versions of the stimuli from the study of Vannson et al. In this latter study, the stimuli were short piano pieces composed to induce a specific emotion (Vieillard et al., 2008, Cognition and Emotion), while in the current study; the same pieces were performed on two congas. Consequently, NH listeners had access to only purely temporal information to form their emotional judgment.  Results show that the emotional and preference ratings of the congas pieces from NH listeners were very similar to the piano pieces' ratings from CI listeners. As the tempo only explains a small part of the variability, other temporal aspects such as the rhythmic pattern, syncopation, and pulsation were used to model the music emotion judgment. We could then conclude that although CI users have difficulties perceiving modes, they can rely on subtle temporal cues to extract music's emotional context.
We also argue that without harmonic information, musical enjoyment will rely mostly on the rhythmical structure of the piece.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9322%20marozeau.mp4?vrtx=view-as-webpage;
74;4;7;Jorg De Winne, Paul Devos, Marc Leman and Dick Botteldooren;Rhythm as a way to entrain people’s attention;"Rhythm
Entrainment
Attention
EEG
Audiovisual interaction";"Artificially intelligent (AI) systems evolve tremendously fast and get better every day. However, when used to interact with people, they still lack the degree of engagement and entrainment that characterizes human-human interaction. Direct access of the AI system to the brain functions of the person it is interacting with could possibly bridge this gap.  Rhythm could be of a major importance in these advances, as it is known that rhythmic signals, as well as music, are expected to give a strong human interaction. 
This study is a first step towards such an engaging and activating system and investigates the underlying processes that happen in the brain during audio-visual interaction. We hypothesize that a rhythmic sound can stimulate visual attention focusing more than a non-rhythmic sound. This better focused attention allows us to also consider that rhythm engages working memory storage. 
An experiment was conducted with 42 young adults (21 female), age 18 to 30 (M= 23.6, SD = 2.7). All of them were having or had had some form of higher education. The experiment started with a questionnaire, an audio-visual object classification task to determine the dominant modality and a standard oddball paradigm with both auditory and visual stimuli. These were followed by the main part of the experiment. 
Participants were presented with a sequence of five black target digits and five dark grey distractor digits mixed together in a random order, and with random timing for the distractor digits. They were asked to remember and report the black target digits. The color difference between black and dark grey was set to be just noticeable for every individual participant. In total 120 sequences were presented over four different conditions. A first condition presented the target digits with random interstimulus intervals (ISIs). A second condition presented the target digits with a fixed ISI, and preceded by five visual induction stimuli. The third condition again presented the target digits with random ISIs, but an auditory tone was presented concurrently with the targets. The last condition presented the target digits with fixed ISIs, preceded by five visual induction stimuli. In this condition both induction and target stimuli were presented with concurrent auditory tones. The induction stimuli induce the participant with a clear underlying beat, allowing him/her to make an accurate prediction on when the next target will appear. Based on our hypothesis, this should help focusing attention to the specific time of the target symbol. 
Together with behavioral responses, 64-channel EEG data was recorded during the experiment. The first preliminary results show some interesting trends. In the EEG response we observe strong inter-individual differences depending on whether the stimuli are presented with or without an underlying rhythm.  The lack of an overall mean effect indicates that personal characteristics have their influence and that we possibly deal with responders and non-responders. More in-depth analysis will investigate these personal factors that may make one more rhythm sensitive, and thus their effect on attention focusing and working memory storage.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9374%20de%20winne.mp4?vrtx=view-as-webpage;
91;4;8;Mari Romarheim Haugen and Anne Danielsen;Influence of tempo on non-isochronous note duration pattern in a performed samba groove;"Samba
Non-isochronous subdivisions
Tempo
Lower limit of duration
Groove
Performance";"Many musical styles are characterized by their non-isochronous (uneven) duration patterns at subdivision level (e.g., Benadon, 2006; Collier & Collier, 2002; Gerischer, 2006; Gouyon, 2007; Haugen and Godøy, 2014; Moelants, 2011; Naveda, 2011; Polak, 2010). It has been suggested that tempo might affect the relationship between such non-isochronous subdivisions. For example, some studies have found that non-isochronous duration patterns seem to become more even as tempo increases. It has been suggested that this effect might be due to perceptual constraints producing a lower limit for duration (e.g., Friberg and Sundström, 1997) or a reduction of rhythmic categories when two initially uneven short notes become so similar in fast tempi that they merge into one single category (Clarke, 1985). 

Previous rhythm studies of samba have revealed that a non-isochronous duration pattern on sixteenth note level is a prominent feature of the style. In the present study, we aim to investigate the influence of tempo on this non-isochronous duration pattern in a performed samba groove.

A percussionist and a dancer from São Paulo in Brazil participated in the study. The percussionist played a samba groove on a Brazilian hand drum called pandeiro and the dancer performed the dance in samba no pé style. The samba groove was performed at three different tempi: fast (133 bpm), preferred (100 bpm), and slow (69 bpm). The results are based on an analysis of the recorded sound. The temporal positions of the played sixteenth notes were detected using the MIRtoolbox (Lartillot and Toiviainen, 2007). 

The analysis showed the same non-isochronous duration pattern at sixteenth note level in all tempi, namely a systematic medium/long–short–medium/short–long duration pattern. That is, the rhythmic categories did not merge as a result of increase of tempo. All four rhythmical categories of subdivision are maintained, despite becoming very similar in duration in the fast tempo. Interestingly, we found that the second sixteenth note becomes relatively shorter and the fourth relatively longer as the tempo increases. This is in contrast with previous research which suggests that non-isochronous duration patterns become more even as tempo increases. In the fast tempo the short second sixteenth note was only 68 ms long, which is below the 80–100 ms range previously suggested as a lower limit for duration in other genres (Dittmar et al., 2015; Polak, 2017).

The results suggest that the non-isochronous duration pattern in samba becomes more pronounced when the tempo increases. We explain this by a need to maintain the specific samba ‘feel.’ The results also imply that the pattern has to be consistent at a categorical level across tempi: the groove pattern is a pattern of duration categories (long, short, etc.) rather than fixed percentages or ratios.  Ultimately, our results imply that humans are capable to differentiate between very similar durations and that even very fine-meshed rhythmical patterns can be perceived and reproduced with high accuracy, depending on the musical context.

References 

Benadon, F. (2006). Slicing the beat: Jazz eighth-notes as expressive microrhythm. Ethnomusicology, 50(1), 73–98.
Clarke, E. F. (1985). Structure and Expression in Rhythmic Performance. In P. Howell, R. West, & I. Cross (Eds.), Musical structure and cognition (pp. 209–236). London: Academic Press.
Collier, G. L., & Collier, J. L. (2002). A Study of Timing in Two Louis Armstrong Solos. Music Perception: An Interdisciplinary Journal, 19(3), 463—483. 
Dittmar, C., Pfleiderer, M., & Müller, M. (2015). Automated estimation of ride cymbal swing ratios in jazz recordings. Paper presented at the Proceedings of the 16th International Society for Music Information Retrieval Conference (ISMIR), Málaga, Spain.
Friberg, A., & Sundström, A. (1997). Preferred swing ratio in jazz as a function of tempo. Speech, Music, and Hearing: Quarterly Status and Progress Report (TMH-QSPR), 4, 19–27. 
Gerischer, C. (2006). O suingue baiano: Rhythmic feeling and microrhythmic phenomena in Brazilian percussion. Ethnomusicology, 50(1), 99–119. 
Gouyon, F. (2007). Microtiming in “Samba de Roda” – Preliminary experiments with polyphonic audio. Paper presented at the SBCM 2007 Proceedings.
Haugen, M. R., & Godøy, R. I. (2014). Rhythmical Structures in Music and Body Movement in Samba Performance. In M. K. Song (Ed.), Proceedings of the ICMPC-APSCOM 2014 Joint Conference: 13th Biennial International Conference for Music Perception and Cognition and 5th Triennial Conference of the Asia Pacific Society for the Cognitive Sciences of Music (pp. 46–52). Seoul, South Korea: College of Music, Yonsei University.
Lartillot, O., & Toiviainen, P. (2007). A Matlab toolbox for musical feature extraction from audio. International Conference on Digital Audio Effects, 237–244. 
Moelants, D. (2011). The Performance of Notes Inégales: The Influence of Tempo, Musical Structure, and Individual Performance Style on Expressive Timing. Music Perception: An Interdisciplinary Journal, 28(5), 449—460. 
Naveda, L. (2011). Gesture in Samba: A cross-modal analysis of dance and music from the Afro-Brazilian culture. (Ph.D. thesis). Faculty of Arts and Philosophy, Ghent University, Belgium, Ghent, Belgium. 
Polak, R. (2010). Rhythmic Feel as Meter: Non-Isochronous Beat Subdivision on Jembe Music from Mali. Music Theory Online, 16(4), 26. Retrieved from http://www.mtosmt.org/issues/mto.10.16.4/mto.10.16.4.polak.html 
Polak, R. (2017). The lower limit for meter in dance drumming from West Africa. Empirical Musicology Review, 12(3-4), 205-226. doi:10.18061/emr.v12i3-4.4951.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9391%20haugen.m4v?vrtx=view-as-webpage;
64;4;9;Matt Moore and Molly Henry;An exhaustive search for twelve-unit metrically ambiguous rhythms;"polyrhythm
metrical ambiguity
bistability
beat grouping
entrainment";"Rhythmic stimuli are used to investigate a broad range of topics in timing and entrainment research. However, these stimuli are often either isochronous or are simple rhythms adhering to 4/4 time, the most prevalent metre in Western music. Simple rhythmic stimuli afford tight experimental and acoustic control. However, there are nevertheless many research questions which cannot be adequately addressed with rhythmically simple and unambiguous stimuli. For example, polyrhythms – two superimposed isochronous pulses with tempos related by a non-integer ratio – possess the crucial property of being metrically ambiguous (a form of bistability). That is, listeners will hear one of two metrical interpretations depending on which isochronous pulse they feel is the ‘beat’ (London, 2012). Metrical ambiguity is a prerequisite for experimental designs that attempt to bias listeners to hear one interpretation or another by varying, for example, context or tempo. As such, polyrhythms have been used to investigate rhythmic grouping behaviours in adults and infants (Jones et al., 1995; Phillips-Silver & Trainor, 2005). Unfortunately, there is an extremely limited pool of strict polyrhythms which are practical for use with non-specialists. 
The current study aimed to equip researchers with a large set of metrically ambiguous rhythms to facilitate more nuanced investigations of rhythmic grouping and metrical bistability. We generated every unique rhythm that can be constructed within a twelve-unit metrical grid (i.e., all possible combinations of eighth notes and rests in 12/8 time, excluding rotations of identical rhythms). Participants, recruited using the Prolific platform, were asked to tap the beat on their keyboards while the rhythms played on a loop. Participants heard a subset of the full set of 351 rhythms presented at both a fast and slow tempo. Rhythms were evaluated in terms of ambiguity and stability. Rhythms were categorised as ambiguous 1) when they were interpreted in different ways by the same participant (by-participant ambiguity), or 2) when they were interpreted in different ways by different participants but consistently within a participant (population ambiguity). Stability refers to how easily participants were able to find equal-sized beat groupings that evenly divided the twelve-unit grid; additive metre interpretations, whilst potentially interesting, are outside the scope of the present study and were consequently disregarded. Hierarchical clustering yielded eight prevalent groups of rhythms which varied in terms of stability and ambiguity. Application of a machine-learning approach is underway, with the aim of evaluating psychological (Povel & Essens, 1985) and music-theoretical (Lerdahl & Jackendoff, 1983) models of rhythm and metre, comparing their predictions against our own empirical findings.
 
References
Jones, M. R., Jagacinski, R. J., Yee, W., Floyd, R. L., & Klapp, S. T. (1995). Tests of attentional flexibility in listening to polyrhythmic patterns. Journal of Experimental Psychology: Human Perception and Performance, 21(2), 293–307. https://doi.org/10.1037/0096-1523.21.2.293
Lerdahl, F., & Jackendoff, R. (1983). A generative theory of tonal music. MIT Press.
London, J. (2012). Hearing in time: Psychological aspects of musical meter (2nd ed). Oxford University Press.
Phillips-Silver, J., & Trainor, L. (2005). Feeling the beat: Movement influences infant rhythm perception. Science, 308, 1430.
Povel, D.-J., & Essens, P. (1985). Perception of Temporal Patterns. Music Perception: An Interdisciplinary Journal, 2(4), 411–440. https://doi.org/10.2307/40285311";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9364%20moore.mp4?vrtx=view-as-webpage;
28;4;10;Heidi Bliddal, Christian Bech Christensen, Cecilie Møller, Peter Vuust and Preben Kidmose;Neural correlates of beat perception measured using ear-EEG:  Bringing EEG music studies into the concert hall;"Beat perception
Ear-EEG
Polyrhythm";"Ear-EEG is a promising novel technology that records electroencephalography (EEG), from electrodes inside the ear. This allows for a discrete and mobile recording of EEG and makes it possible to record EEG in natural environments (1). Nozaradan et al. (2011)(2) used scalp EEG to study neural responses to an isochronous sequence of sounds under three conditions: a control condition and two imagery conditions where participants were instructed to imagine accents on every second (march) or third (waltz) beat. A significant peak was found at the frequency of the imagined beat only in the matching imagery conditions. Since no physical accents were present in the stimulus, the peaks at meter-related frequencies indicate higher order processing of the sound sequence. The aim of the present combined scalp- and ear-EEG study (n=20) was to determine whether neural correlates of beat perception can be measured using ear-EEG. To investigate this, we used an adapted version of the Nozaradan paradigm, and an additional polyrhythm paradigm. We included both in order to compare the neural correlates of instructed, induced, and spontaneous beat perception. In the polyrhythm paradigm we used an ambiguous 2:3 polyrhythm preceded by no priming or by the same rhythm emphasizing the 2-beat or the 3-beat. Comparing different kinds of beat perception is particularly important here because there could be different underlying neuronal sources depending on the nature of the beat perception. Thus, the scalp EEG might measure some sources that the ear-EEG cannot. At the time of writing data collection was still ongoing. We conducted a pilot study which included two musicians using electrodes around the ear instead of the ear-EEG used in the ongoing data collection. Pilot data using only the electrodes around the ear, obtained with the Nozaradan paradigm, showed a significantly greater amplitude at the march-related frequency in the march imagery condition compared to the control condition for one participant (p <.005). The polyrhythm paradigm showed a significantly greater amplitude at the 3-beat frequency in the 3-beat condition, than the 3-beat frequency in the 2-beat condition in one participant (p< .04). These preliminary results are promising for the possibility of measuring the neural correlates of beat perception with ear-EEG.

References
1. Kappel SL, Rank ML, Toft HO, Andersen M, Kidmose P. Dry-Contact Electrode Ear-EEG. IEEE Trans Biomed Eng. 2019;66(1):150–8.
2. Nozaradan S, Peretz I, Missal M, Mouraux A. Tagging the neuronal entrainment to beat and meter. J Neurosci Off J Soc Neurosci. 13. juli 2011;31(28):10234–40.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9328%20bliddal.mp4?vrtx=view-as-webpage;
83;4;11;Noam Lederman, Simon Holland and Paul Mulholland;A principled approach to the development of drum improvisation skills through interaction with a conversational agent;"Drumming
Improvisation
Mixed-initiative interaction";"Abstract
Shedding is a term used to describe a musical conversation between drummers with the aim to improve their drumming vocabulary, gain confidence in real-time trading of musical ideas, develop an understanding for their original voice on the drum kit and enjoy the process of exploring creativity with a fellow drummer. However, in practice drummers have limited opportunities to play in real-time with other drummers. This research explores shedding activity in the form of mixed-initiative interaction between a human drummer and a conversational agent. 

The proposed agent embodies an inference system allowing it to navigate through transformations of a core phrase chosen by the user (the starting point of every shedding interaction in our model) with a design aim of conversing with the human drummer in a way that is perceived as meaningful, musical and inspiring. The transformations involve the agent taking a core phrase and adapting it in various ways, for example, by making changes to elements such as orchestration, metric modulation and phase shift. These elements offer dimensions of development in linear drumming, where a range of transformations of each element can be explored by the agent and human drummer. This research focuses on creating a reflective drumming agent that inspires the user by having a conversation rather than by teaching specific grooves (Senn, 2018) or drumming concepts. This paper focuses in particular on how this central shedding model can be enhanced and deepened based on a novel characterisation of rhythmic grouping and accent patterns.

Previous research has investigated creativity from a number of perspectives including computer modelling (Boden 1994, Cope 2005), communication (Davidson 2005) and perfection (Berger 1999). However, creativity in performance has received relatively little attention (Pinheiro 2010). More specifically, research into musical interaction activities with intelligent systems such as the Continuator (Pachet, 2003), Controlling Interactive Music (Brown, 2018) and Monterey Mirror (Manaris et al. 2018) present tools for contemporary music creation and co-creativity. However, our work suggests a musical framework with a reflective agent that aims to elicit creativity by encouraging the human drummer to observe and refine their creative process.
 
The inference system employed by the agent uses the core phrase and rules of transformations in order to converse with the human drummer in ways that are perceived as meaningful. Following several design prototyping studies using Wizard of Oz, we were able to refine the initial transformation model with three elements: linear drumming, accented and unaccented notes within rhythmic groupings and external inspiration for core phrases. This enhanced design will be tested in a pilot experiment with professional drummers in order to produce a more refined direction of exploration of drum improvisational skills development through shedding while considering implications of movement, perception and creativity. 




References 
Brown, A. R. (2018). Creative improvisation with a reflexive musical bot. Digital Creativity, 29(1), 5-18.
Green, L. (2002). How popular musicians learn: A way ahead for music education. Ashgate Publishing, Ltd..
Jackendoff, R. (2009). Parallels and nonparallels between language and music. Music perception, 26(3), 195-204.
Manaris, B., Hughes, D., & Vassilandonakis, Y. (2011, June). Monterey mirror: combining Markov models, genetic algorithms, and power laws. In Proceedings of the IEEE Conference on Evolutionary Computation.
Pachet, F. (2003). The continuator: Musical interaction with style. Journal of New Music Research, 32(3), 333-341.
Pinheiro, R. (2010) ‘The creative process in the context of jazz jam sessions’. Journal of Music and Dance. 1(1), pp. 1-5. Available at: http://www.academicjournals.org/journal/JMD/edition/January_2011
Senn, O., Kilchenmann, L., Bechtold, T., & Hoesl, F. (2018). Groove in drum patterns as a function of both rhythmic properties and listeners’ attitudes. PloS one, 13(6), e0199604.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9383%20lederman.mp4?vrtx=view-as-webpage;
50;4;12;Ragnhild Brøvig-Hanssen, Bjørnar Sandvik and Jon Marius Aareskjold-Drecker;Slow attacks, peculiar accents, and pumping grooves: perceptual interaction between timing and intensity in music production;"groove
rhythm
microrhythm
timing
sound
intensity
dynamics
perception
electronic dance music";This paper explores the extent to which the use of dynamic range processing (such as compression and sidechain compression) influences our perception of a sound signal’s temporal placement in music. Because compression reshapes the sound signal’s envelope (how it changes over time), scholars have previously noted that certain uses of compression can produce peculiar rhythmic effects. We seek to interrogate and complicate this notion by linking a description of the workings and effects of dynamic range processing to empirical findings on the interaction between sound and perceived timing. Access to original multitracks and project files for music recordings by esteemed Norwegian EDM producers allow us to surgically analyze their use of amplitude adjustment, compression, and sidechain compression and these effects’ impact on rhythm, including to aurally and visually compare individual tracks with and without sound-processing effects applied. We also analyze audio tracks by international EDM artists in order to demonstrate the broad range of possible applications of this effect. The analyses are supported by technical discussions of the workings of the relevant processing effects and to findings from perceptual experiments that examine multidimensional perceptual processing, including the interaction between time and shape/envelope, and between time and intensity. The analyses of the different EDM tracks demonstrated that especially sidechain compression affects the music in many possible ways, depending on the settings of the compressors’ parameters, as well as the rhythmic pattern and the sonic complexity of both the trigger signal and the sidechained signal. Dynamic range processing’s impact on groove and perceived timing indicates, in line with previous findings, that sound and timing interact in fundamental ways. Because of this interaction, then, we cannot limit ourselves to technical terms that describe how particular effects are achieved if we want to fully understand the grooves that are characteristic of EDM or other music. We must also consider how listeners experience these effects.;;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9350%20brovig-hanssen.m4v?vrtx=view-as-webpage;
